"date","airtemp","watertemp","wavedirection","waveperiod","waveheight","windspeed","winddirection"
2022-01-01,54.5975,56.1875,255.25,8.56458333333333,4.67656401666667,10.7316166666667,191.708333333333
2022-01-02,55.535,56.33,225.5,9.91166666666667,2.85843185,8.63388933333333,143.291666666667
2022-01-03,54.6575,56.3975,257.25,12.7670833333333,2.26651363333333,5.72622866666667,249.791666666667
2022-01-04,55.805,56.81,265.375,9.29333333333333,3.772966,8.76347866666667,248.291666666667
2022-01-05,58.2725,56.7125,271.208333333333,12.6975,5.73463491666667,7.726764,272.333333333333
2022-01-06,57.3017391304348,57.2469565217391,271.304347826087,12.02,4.57463212173913,3.96374330434783,192.826086956522
2022-01-07,54.965,56.9825,262.583333333333,7.81583333333333,4.23638465,5.30506333333333,234.791666666667
2022-01-08,56.285,56.945,255.916666666667,12.62625,3.35329188333333,3.790488,139
2022-01-09,56.0075,57.095,268.541666666667,15.235,4.17213486666667,3.58800466666667,170.125
2022-01-10,57.3408695652174,57.6069565217391,262.434782608696,13.5352173913043,2.92565340869565,3.82851965217391,228.521739130435
2022-01-11,57.845,57.335,275.5,13.4075,3.04844716666667,3.10204466666667,222.75
2022-01-12,58.0775,57.185,268.833333333333,15.1120833333333,6.59858945,2.68087933333333,148.666666666667
2022-01-13,58.145,57.1175,262.916666666667,14.5745833333333,5.26164715,3.960574,210.208333333333
2022-01-14,56.0182608695652,57.7869565217391,266.391304347826,13.31,4.65451344347826,4.09896695652174,190.913043478261
2022-01-15,58.925,57.83,251.875,13.4029166666667,5.41612003333333,3.80668666666667,221.166666666667
2022-01-16,59.54,57.635,271.041666666667,14.4895833333333,5.53778451666667,4.762408,185.708333333333
2022-01-17,57.77,57.5975,271.583333333333,13.0991666666667,5.06206271666667,6.55236066666667,176.416666666667
2022-01-18,57.3095652173913,57.8808695652174,268.173913043478,12.8582608695652,3.95697833043478,4.39476869565217,229.913043478261
2022-01-19,56.645,57.935,266.625,13.4029166666667,5.07846691666667,3.52321,136.208333333333
2022-01-20,56.6975,58.4675,268.958333333333,12.04375,3.1085959,2.18682,244.291666666667
2022-01-21,58.235,58.1525,260.5,11.7845833333333,3.14413833333333,5.76672533333333,195.916666666667
2022-01-22,58.9775,58.61,261.041666666667,13.58625,3.50913178333333,4.12256066666667,194.958333333333
2022-01-23,58.025,58.025,274.375,13.7320833333333,2.34853463333333,4.640918,259.75
2022-01-24,57.1025,57.7475,271.291666666667,16.9383333333333,4.12155525,3.28832933333333,187.125
2022-01-25,56.9375,58.19,271.166666666667,16.0983333333333,6.20352163333333,3.43411733333333,162.708333333333
2022-01-26,57.0125,58.0925,272.166666666667,15.6,5.84126221666667,3.28023,191
2022-01-27,55.535,57.86,269.291666666667,14.9470833333333,5.15638686666667,4.40603733333333,175.375
2022-01-28,58.55,57.53,263.791666666667,13.3541666666667,3.91513573333333,6.73864533333333,203.916666666667
2022-01-29,58.535,57.755,262.208333333333,12.6575,2.58776255,3.53130933333333,181.166666666667
2022-01-30,57.41,57.92,266.333333333333,12.9358333333333,3.47358935,5.55614266666667,226.666666666667
2022-01-31,56.6825,57.9425,266.75,13.6304166666667,3.20838811666667,2.648482,181.375
2022-02-01,56.045,58.355,267.75,14.3841666666667,4.35121405,3.36932266666667,150
2022-02-02,56.99,58.1675,269.291666666667,12.6004166666667,4.48108063333333,3.53940866666667,177.708333333333
2022-02-03,56.9975,58.3475,268,10.5554166666667,3.01700578333333,2.867164,167.75
2022-02-04,57.9826086956522,58.1626086956522,237.347826086957,11.4195652173913,2.66603911304348,6.58370156521739,218.565217391304
2022-02-05,57.4269565217391,58.4678260869565,276.347826086957,13.6304347826087,2.49771775652174,4.31870539130435,220
2022-02-06,57.3472727272727,58.3618181818182,279.181818181818,14.2745454545455,2.68730621818182,4.44432509090909,242.909090909091
2022-02-07,57.8075,58.355,274.958333333333,13.9933333333333,3.74562566666667,5.151176,270.416666666667
2022-02-08,57.8026086956522,58.5147826086957,275.608695652174,14.394347826087,3.73730469565217,6.53299269565217,256.260869565217
2022-02-09,59.39,58.9475,272.625,13.66875,3.39703641666667,4.713812,214.583333333333
2022-02-10,61.415,59.1875,277.291666666667,14.3816666666667,3.15507446666667,4.13066,198
2022-02-11,59.8775,59.405,274.291666666667,16.1470833333333,3.63626433333333,6.050202,251.958333333333
2022-02-12,60.5975,59.24,268.25,14.1725,2.9199476,4.01726933333333,196.208333333333
2022-02-13,61.28,60.0125,263.875,12.7604166666667,2.37314093333333,2.76187266666667,214.5
2022-02-14,58.085,58.8875,267,11.4825,2.78187891666667,10.3833453333333,247
2022-02-15,55.9175,57.545,267.916666666667,5.72791666666667,5.4051839,18.7661553333333,281.625
2022-02-16,56.2325,57.3725,265.333333333333,9.96541666666667,5.37784356666667,16.2958586666667,290.083333333333
2022-02-17,57.6125,57.9875,265.5,13.335,4.47287853333333,6.91683066666667,168.208333333333
2022-02-18,57.4775,57.8075,267.875,16.6370833333333,4.43870311666667,6.001606,217.75
2022-02-19,55.415652173913,56.675652173913,270.95652173913,15.0095652173913,3.61605626086956,10.9615673043478,256.95652173913
2022-02-20,55.1730434782609,56.7069565217391,265.739130434783,13.6539130434783,3.24945805217391,9.71074852173913,248.086956521739
2022-02-21,54.575,57.71,267.875,13.6983333333333,4.2404857,12.221894,247.541666666667
2022-02-22,53.3104347826087,57.4973913043478,266.434782608696,9.74347826086957,5.44476794782609,17.8241676521739,287.695652173913
2022-02-23,49.7652173913043,56.6286956521739,265.347826086957,7.89695652173913,4.62027859130435,16.5395429565217,294.652173913043
